1.wav,"clear all around"
2.wav,"you're clear all around"
3.wav,"all clear"
4.wav,"you're clear all around"
5.wav,"you're clear all around"
6.wav,"all clear"
7.wav,"you're clear all around"
8.wav,"all around's clear now"
9.wav,"you're clear all around"
