1.wav,"3 wide, you're inside"
10.wav,"stay low, stay low, 2 up top"
2.wav,"you're on the bottom, 3 wide"
3.wav,"3 wide, 2 up high"
4.wav,"2 up top"
5.wav,"2 on the high side"
6.wav,"3 wide, stay low"
7.wav,"stay low, you're 3 wide"
8.wav,"2 outside, stay down"
9.wav,"3 wide, hold your line"
