1.wav,"3 wide, you're inside"
2.wav,"you're inside, 3 wide"
3.wav,"you got 2 up top, 2 up top"
4.wav,"you are 3 wide, 2 up top"
5.wav,"you're 3 wide, inside"
6.wav,"you're inside, 3 wide, 3 wide, 2 up top"
