1.wav,"...positions here."
2.wav,"...positions here before we get a penalty."
3.wav,"...or they're gonna give us a penalty."
4.wav,"...positions here."
5.wav,"...positions or they're gonna black flag us!"
6.wav,"...positions or we're gonna get a penalty!"
7.wav,"...spaces."
8.wav,"...spaces or they're gonna penalize us!"
9.wav,"...or they're gonna penalize us!"
10.wav,"...or they're gonna black flag us!"
